Node1,Node2
"(133.0, 160.0)","(138.4969067609368, 175.5991383119752)"
"(99.0, 232.0)","(106.0, 218.0)"
"(99.0, 232.0)","(82.0, 230.0)"
"(99.0, 232.0)","(105.0, 247.0)"
"(465.0, 202.0)","(450.0, 203.0)"
"(352.0, 258.0)","(355.0, 240.0)"
"(271.0, 187.0)","(283.0, 194.0)"
"(271.0, 187.0)","(262.0, 204.0)"
"(271.0, 187.0)","(263.0, 171.0)"
"(74.0, 289.0)","(90.0, 289.0)"
"(74.0, 289.0)","(67.0, 275.0)"
"(424.0, 311.0)","(418.5499337163059, 299.1519443216968)"
"(177.0, 278.0)","(162.0, 289.0)"
"(177.0, 278.0)","(188.0, 286.0)"
"(177.0, 278.0)","(188.0, 294.0)"
"(35.0, 0.0)","(26.0, 10.0)"
"(366.0, 52.0)","(359.0, 67.0)"
"(366.0, 52.0)","(362.95117101193114, 37.631838267786065)"
"(68.0, 172.0)","(74.0, 155.0)"
"(68.0, 172.0)","(58.18758285461777, 181.77677861246133)"
"(68.0, 172.0)","(49.95072912063634, 173.53992487847984)"
"(44.0, 283.0)","(27.0, 281.0)"
"(44.0, 283.0)","(51.0, 270.0)"
"(44.0, 283.0)","(49.0, 299.0)"
"(162.0, 147.0)","(147.0, 147.0)"
"(162.0, 147.0)","(165.0, 162.0)"
"(269.0, 146.0)","(253.0, 153.0)"
"(269.0, 146.0)","(273.0, 128.0)"
"(269.0, 146.0)","(273.0, 159.0)"
"(307.0, 275.0)","(312.0, 257.0)"
"(307.0, 275.0)","(315.0, 285.0)"
"(217.0, 146.0)","(200.0, 156.0)"
"(217.0, 146.0)","(230.0, 154.0)"
"(432.0, 271.0)","(444.0, 282.0)"
"(432.0, 271.0)","(432.0, 252.0)"
"(432.0, 271.0)","(420.6091471498012, 283.70784357048166)"
"(88.0, 43.0)","(73.0, 45.0)"
"(88.0, 43.0)","(96.0, 31.0)"
"(92.0, 200.0)","(106.0, 203.0)"
"(194.0, 11.0)","(179.0, 11.0)"
"(194.0, 11.0)","(200.27330976579762, 24.246950950066207)"
"(373.0, 234.0)","(355.0, 240.0)"
"(373.0, 234.0)","(382.0, 248.0)"
"(373.0, 234.0)","(375.3064516129033, 218.84262041537778)"
"(280.0, 241.0)","(273.0, 225.0)"
"(280.0, 241.0)","(288.8194874060981, 251.79003535130357)"
"(280.0, 241.0)","(272.34577993813525, 250.76042863455586)"
"(238.0, 11.0)","(244.0, 24.0)"
"(238.0, 11.0)","(221.0, 12.0)"
"(343.0, 127.0)","(360.0, 127.0)"
"(343.0, 127.0)","(337.2110030932391, 145.74054352629247)"
"(231.0, 182.0)","(242.0, 180.0)"
"(328.0, 204.0)","(318.0, 194.0)"
"(328.0, 204.0)","(320.0, 222.0)"
"(283.0, 194.0)","(290.0, 212.0)"
"(152.0, 175.0)","(165.0, 162.0)"
"(152.0, 175.0)","(138.4969067609368, 175.5991383119752)"
"(198.0, 181.0)","(180.0, 173.0)"
"(198.0, 181.0)","(207.0, 169.0)"
"(151.0, 67.0)","(154.0, 83.0)"
"(151.0, 67.0)","(134.0, 66.0)"
"(151.0, 67.0)","(158.05943437914274, 56.16475916924435)"
"(324.0, 337.0)","(305.0, 337.0)"
"(324.0, 337.0)","(316.61886875828543, 326.9513256738842)"
"(318.0, 194.0)","(305.293194874061, 193.10245249668577)"
"(164.0, 194.0)","(174.0, 193.0)"
"(93.0, 127.0)","(92.0, 114.0)"
"(93.0, 127.0)","(100.0, 141.0)"
"(368.0, 143.0)","(383.0, 146.0)"
"(368.0, 143.0)","(360.0, 127.0)"
"(245.0, 264.0)","(257.0, 249.0)"
"(245.0, 264.0)","(229.0, 265.0)"
"(245.0, 264.0)","(251.0, 279.0)"
"(213.0, 56.0)","(220.0, 67.0)"
"(213.0, 56.0)","(222.92465753424662, 42.77987185152449)"
"(213.0, 56.0)","(200.27330976579762, 59.25357931948736)"
"(452.0, 311.0)","(465.0, 305.0)"
"(452.0, 311.0)","(449.0, 328.0)"
"(452.0, 311.0)","(443.0, 302.0)"
"(434.0, 20.0)","(419.0, 19.0)"
"(434.0, 20.0)","(442.0, 37.0)"
"(262.0, 204.0)","(249.0, 200.0)"
"(262.0, 204.0)","(261.0201060539108, 222.9610472823685)"
"(93.0, 264.0)","(75.0, 263.0)"
"(93.0, 264.0)","(99.0, 279.0)"
"(449.0, 40.0)","(449.0, 59.0)"
"(449.0, 40.0)","(442.0, 37.0)"
"(26.0, 315.0)","(13.0, 325.0)"
"(26.0, 315.0)","(21.0, 296.0)"
"(236.0, 227.0)","(250.0, 232.0)"
"(236.0, 227.0)","(221.0, 238.0)"
"(18.0, 172.0)","(35.0, 180.0)"
"(18.0, 172.0)","(16.0, 158.0)"
"(136.0, 103.0)","(120.0, 113.0)"
"(136.0, 103.0)","(145.0, 117.0)"
"(424.0, 116.0)","(415.0, 115.0)"
"(357.0, 175.0)","(371.0, 184.0)"
